song_id,name,genre,jaccard_similarity,tokens
10018510778896022773,How Can You Mend A Broken Heart,disco,0.0,"""i"", ""but"", ""told"", ""help"", ""man""] ""mend"", ""win"", ""live"", ""broken"", ""one"", ""never"", ""ever"", ""heart"", ""life"", ""feel"", ""breeze"", ""want"", ""younger"", ""shining"", ""sorrow"", ""memories"", ""my"", ""rain"", ""think"", ""could"", ""gone"", ""you"", ""everything"", ""trees"", ""tomorrow"", ""rustles"", ""loser"", ""days"", [""i"", ""misty"", ""still"", ""makes"", ""man"", ""see"", ""said"", ""no"", ""please"", ""living"", ""word"", ""world"", ""falling"", ""sun"", ""stop"", ""round"", ""let"","
4597666000887757323,Everlong,"alt-rock, alternative, grunge, metal",0.0,"""hold"", ""i"", ""throw"", ""sing"", ""anything"", ""stop"", ""breathe"", ""along"", [""hello"", ""wonder"", ""tonight"", ""wanted"", ""ever"", ""red"", ""feel"", ""not"", ""thing"", ""promise"", ""if"", ""my"", ""sang""] ""away"", ""could"", ""waste"", ""know"", ""head"", ""you"", ""always"", ""real"", ""everything"", ""waited"", ""forever"", ""got"", ""she"", ""slow"", ""everlong"", ""sang"", ""ask"", ""good"", ""say"", ""come"", ""two"","
4822827931918068412,Dark Skies,bluegrass,0.0,"""hold"", ""pain"", ""lover"", ""i"", ""perfect"", ""dark"", ""but"", ""cold"", ""long"", ""wind"", ""drown"", ""want""] ""sure"", ""cloud"", ""arms"", ""feel"", ""lost"", ""if"", ""my"", ""rain"", ""day"", ""tell"", ""think"", ""give"", ""leave"", ""you"", ""need"", ""love"", ""stay"", ""ease"", ""skies"", ""part"", ""close"", [""i"", ""empty"", ""bother"", ""someone"", ""no"", ""time"", ""door"", ""would"", ""another"", ""cure"", ""may"", ""send"", ""not"", ""blue"","
48199984136878165,The Perfect Drug,industrial,0.0,"""control"", ""track"", ""i"", ""perfect"", ""eyed"", ""pick"", ""but"", ""soul"", ""left"", ""pull"", ""stupid"", ""along"", ""one"", ""fun"", ""keep"", ""cannot"", ""goes"", ""unraveling"", ""taking"", ""without"", ""take"", ""heart"", ""little"", ""understood"", ""want"", ""make"", ""truth"", ""straight"", ""wants"", ""stars"", ""bit"", ""back"", ""my"", ""blood"", ""afraid"", ""every"", ""inside"", ""give"", ""traveling"", ""know"", ""head"", ""you"", ""sky"", ""realize"", ""everything"", ""drug"", ""apart"", ""got"", ""pieces""] [""i"", ""turn"", ""die"", ""falls"", ""see"", ""shaking"", ""soft"", ""hard"", ""hello"", ""no"", ""good"", ""arrow"", ""say"", ""much"", ""reaching"", ""sun"", ""come"", ""not"","
4810310496549353617,Push,rock,0.0,"""i"", ""push"", ""today"", ""but"", ""clouds"", ""swarming"", ""together"", ""shadows"", ""adoring"", ""pass"", ""past"", ""front"", ""reality"", ""going"", ""way"", ""along"", ""bath"", ""swimming"", ""god"", ""till"", ""take"", ""find"", ""momma"", ""life"", ""path"", ""feel"", ""make"", ""pouring"", ""roaring"", ""home"", ""kingdom"", ""fast"", ""let"", ""my"", ""violent"", ""away"", ""crawling"", ""plan"", ""lord"", ""know"", ""love"", ""moving"", ""best"", ""cars"", ""home""] ""carry"", ""jungle"", ""got"", ""last"", ""stalling"", ""see"", [""barely"", ""better"", ""city"", ""sea"", ""brings"", ""living"", ""time"", ""morning"", ""come"", ""face"", ""trying"", ""world"", ""they"", ""beasts"", ""not"", ""calling"","
13860806082654952241,Hallelujah I Love Her So,piano,-1.0,"""i"", ""yes"", ""trouble"", ""asks"", ""baby"", ""girl"", ""holds"", ""else"", ""told"", ""four"", ""count"", ""girl""] ""one"", ""goes"", ""telephone"", ""kisses"", ""hallelujah"", ""woman"", ""smile"", ""favorite"", ""fore"", ""little"", ""fool"", ""mornin"", ""coffee"", ""comes"", ""if"", ""babe"", ""my"", ""tell"", ""every"", ""tight"", ""everybody"", ""bout"", ""know"", ""lives"", ""you"", ""love"", ""everything"", ""alone"", ""cup"", ""nobody"", ""around"", ""daddy"", ""she"", ""next"", ""right"", ""knock"", ""evening"", ""say"", ""waitin"", ""hear"", ""no"", ""friend"", [""let"", ""brings"", ""time"", ""door"", ""tells"", ""end"", ""sun"", ""not"", ""call"","
10018510778896022773,How Can You Mend A Broken Heart,disco,0.0,"""i"", ""but"", ""told"", ""help"", ""man""] ""mend"", ""win"", ""live"", ""broken"", ""one"", ""never"", ""ever"", ""heart"", ""life"", ""feel"", ""breeze"", ""want"", ""younger"", ""shining"", ""sorrow"", ""memories"", ""my"", ""rain"", ""think"", ""could"", ""gone"", ""you"", ""everything"", ""trees"", ""tomorrow"", ""rustles"", ""loser"", ""days"", [""i"", ""misty"", ""still"", ""makes"", ""man"", ""see"", ""said"", ""no"", ""please"", ""living"", ""word"", ""world"", ""falling"", ""sun"", ""stop"", ""round"", ""let"","
4822827931918068412,Dark Skies,bluegrass,0.0,"""hold"", ""pain"", ""lover"", ""i"", ""perfect"", ""dark"", ""but"", ""cold"", ""long"", ""wind"", ""drown"", ""want""] ""sure"", ""cloud"", ""arms"", ""feel"", ""lost"", ""if"", ""my"", ""rain"", ""day"", ""tell"", ""think"", ""give"", ""leave"", ""you"", ""need"", ""love"", ""stay"", ""ease"", ""skies"", ""part"", ""close"", [""i"", ""empty"", ""bother"", ""someone"", ""no"", ""time"", ""door"", ""would"", ""another"", ""cure"", ""may"", ""send"", ""not"", ""blue"","
48199984136878165,The Perfect Drug,industrial,0.0,"""control"", ""track"", ""i"", ""perfect"", ""eyed"", ""pick"", ""but"", ""soul"", ""left"", ""pull"", ""stupid"", ""along"", ""one"", ""fun"", ""keep"", ""cannot"", ""goes"", ""unraveling"", ""taking"", ""without"", ""take"", ""heart"", ""little"", ""understood"", ""want"", ""make"", ""truth"", ""straight"", ""wants"", ""stars"", ""bit"", ""back"", ""my"", ""blood"", ""afraid"", ""every"", ""inside"", ""give"", ""traveling"", ""know"", ""head"", ""you"", ""sky"", ""realize"", ""everything"", ""drug"", ""apart"", ""got"", ""pieces""] [""i"", ""turn"", ""die"", ""falls"", ""see"", ""shaking"", ""soft"", ""hard"", ""hello"", ""no"", ""good"", ""arrow"", ""say"", ""much"", ""reaching"", ""sun"", ""come"", ""not"","
4810310496549353617,Push,rock,0.0,"""i"", ""push"", ""today"", ""but"", ""clouds"", ""swarming"", ""together"", ""shadows"", ""adoring"", ""pass"", ""past"", ""front"", ""reality"", ""going"", ""way"", ""along"", ""bath"", ""swimming"", ""god"", ""till"", ""take"", ""find"", ""momma"", ""life"", ""path"", ""feel"", ""make"", ""pouring"", ""roaring"", ""home"", ""kingdom"", ""fast"", ""let"", ""my"", ""violent"", ""away"", ""crawling"", ""plan"", ""lord"", ""know"", ""love"", ""moving"", ""best"", ""cars"", ""home""] ""carry"", ""jungle"", ""got"", ""last"", ""stalling"", ""see"", [""barely"", ""better"", ""city"", ""sea"", ""brings"", ""living"", ""time"", ""morning"", ""come"", ""face"", ""trying"", ""world"", ""they"", ""beasts"", ""not"", ""calling"","
